package,origin,divergence_pct,loc_lux,loc_upstream,gpu_kernels,notes
node,fork_diverged,~54,288224,623940,no,wc -l on *.go non-vendor; vms/avm + saevm + nftfx + propertyfx replaced by xvm + dexvm + mldsafx + thresholdvm + chainadapter + da; snow/ extracted into consensus/ repo; zap_native/ subtree 12432 LOC Lux-original
consensus,extracted_rewritten,~100,98844,52159,yes,upstream had snow/{snowball/snowman/snowstorm/avalanche/}; Lux replaces with quasar/wave/horizon/nova/photon/prism/flare/focus/nebula/ray/field/chain; GPU batch pipeline benchmarks present; BENCHMARKS.md committed
pulsar,lux_original,100,21480,0,partial,Lux post-quantum threshold signing on FIPS 204 ML-DSA-65; NIST MPTC submission; Jasmin formal track
corona,lux_original,100,24810,partial,partial,Lux PQ DKG2 + reshare; corona round-signer integrates with pulsar/magnetar; gpu/ subdir
magnetar,lux_original,100,10284,0,no,Lux threshold SLH-DSA (FIPS 205) THBS-SE; v1.1 strict-atom -51% vs circl baseline at SHAKE-192s; v1.2 dealerless PVSS-DKG; EasyCrypt N5 proofs
quasar,lux_original_meta,100,0,0,no,spec-only package — SPEC.md / PROFILES.md / PRIMITIVES.md / proofs/*.tex; composes pulsar+corona+magnetar+polaris
p3q,lux_original,100,0,0,no,Rust crate (5555 LOC); precompile for hybrid post-quantum verification (0x012205 slot)
age,lux_original,100,10777,0,no,Lux PQ-extended age encryption; X-Wing KEM-based pq_selector.go
zap,lux_original,100,24452,0,no,zero-copy wire protocol; replaces linearcodec; 156M ops/sec decode 6.4 ns/op with zero allocations
zapdb,lux_original,100,38799,0,no,Lux key-value store (Badger fork foundation 2017; substantially rewritten); native ZAP integration
crypto,fork_to_diverged,~80,65855,0,partial,BLS12-381 + ML-DSA + SLH-DSA + secp256k1; replaces upstream avalanchego/utils/crypto
lattice,lux_original,100,56939,0,no,Ring-LWE / Module-LWE / CKKS / BFV / BGV; vendored as luxfi/lattice/v7
precompile,lux_original,100,79251,0,partial,47 primitive families with 99 addressable slots across C-Chain / Q-Chain / multi-chain slots: ML-DSA / SLH-DSA / ML-KEM / Pulsar / Quasar / FROST / CGGMP21 / FHE / HQC / KZG4844 / Poseidon / Pasta / Pedersen / VRF / X25519 / Curve25519 / BabyJubJub / BLS12-381 / Ring / ZK / Blake3 / Solidity-bindings
evm,fork_diverged,~70,141334,~250000,no,EVM execution layer; tx pool / state / sync from luxfi/geth fork; precompile registry is Lux-original
evmgpu,lux_original,100,142998,0,yes,GPU-accelerated EVM execution; Metal/CUDA kernels; 20.9 Ggas/s C++ path vs 4.2-5.4 Ggas/s Go path
vm,fork_diverged,~60,29906,0,no,VM SDK interface; lattice-fhe/snow/utxo/manager all Lux-shaped
fhe,lux_original,100,16125,0,no,Go bindings + runtime for luxcpp/fhe (CKKS/BFV/BGV); FHE-MPC hybrid
kms (lux/kms),lux_original,100,12593,0,no,Backend Go LOC; consensus-native ML-DSA-65 envelope auth; mnemonic-derived service identity
kms (hanzo/kms),lux_original,100,38982,0,no,Hanzo-branded KMS consumer fork; same envelope auth and consensus authorizer; canonical install
keys,lux_original,100,3717,0,no,Service identity (SLIP-0044 coin-type 9000 inherited); BIP-44 derivation tree
threshold,lux_original,100,75406,0,partial,Threshold cryptography orchestration; pulsar/magnetar/cggmp21/frost
mpc,lux_original,100,80110,0,no,CGGMP21 + FROST threshold signing; WebAuthn integration
warp,fork_diverged,~50,2999,~15000,no,Lux warp messaging precompile + signer; extends Avalanche Warp Messaging with PQ envelopes
platformvm,fork_diverged,~60,~80000,~120000,no,P-chain; zap_native/ subtree (12432 LOC) is Lux-original ZAP wire encoding; rest derives from upstream
warp-relayer,fork_diverged,~50,~5000,~10000,no,Lux warp message relayer; PQ envelope dispatch
ids,fork_diverged,~30,12569,~7000,no,ID type wrapper; BTC-style hash-of-hash NodeID added (HIP-0077)
utxo,lux_original,100,16098,0,no,UTXO-fx plugins: mldsafx + slhdsafx + ed25519fx + secp256r1fx + secp256k1fx (LRU verify cache)
bft,lux_original,100,12819,0,no,BFT engine bindings
sdk,lux_original,100,51920,0,no,Go SDK; surface for chain RPC and wallet
bridge,lux_original,100,55127,0,no,Cross-chain bridge orchestration (Lux side); bridge-destination AVAX/avax labels preserved when delivering wrapped assets onto upstream Avalanche C/X — only context where AVAX is correct in Lux user surfaces
codec,lux_original,100,2667,0,no,Codec adapters and ZAP integration shims
explorer,lux_original,100,2827,0,no,Block explorer service
cli,lux_original,100,110023,0,no,lux binary CLI (replaces avalanche-cli); wallet/genesis/netrunner integration
netrunner,fork_diverged,~50,36654,0,no,Network test harness (avalanche-network-runner replacement)
geth,fork_pinned,~5,371717,~525000,no,Lux fork of go-ethereum pinned at v1.16.x; minimal Lux delta
coreth,fork_pinned,~5,144122,~200000,no,Vestigial coreth fork; compatibility shim only
luxcpp/cevm,lux_original,100,669382,0,yes,C++ EVM execution (evmone++ fork extensively rewritten with Lux state)
luxcpp/cuda,lux_original,100,85773,0,yes,CUDA kernels: ECDSA recovery / BLS / hashes
luxcpp/metal,lux_original,100,118494,0,yes,Apple Metal kernels: BLS / hashes / EVM opcodes
luxcpp/gpu,lux_original,100,245154,0,yes,GPU primitives abstraction layer (Metal/CUDA/WebGPU backends)
luxcpp/webgpu,lux_original,100,138138,0,yes,WebGPU backend; browser-side GPU EVM and crypto
luxcpp/fhe,lux_original,100,663693,0,partial,Native FHE engine; CKKS/BFV/BGV with NTT SIMD; AVX-512 / NEON / GPU
luxcpp/lattice,lux_original,100,6519,0,no,Native lattice crypto primitives
luxcpp/crypto,lux_original,100,133926,0,partial,Native crypto primitives: BLS12-381 / ML-DSA / SLH-DSA / KECCAK / SHAKE
luxcpp/pqclean,vendored_pqclean,0,348846,348846,no,PQClean reference implementations vendored for FIPS conformance testing
luxcpp/intx,vendored_intx,0,6185,6185,no,256-bit integer arithmetic library (header-only)
luxcpp/evmc,vendored_evmc,0,9456,9456,no,EVM-C ABI vendored from ethereum/evmc
luxcpp/evmmax,lux_original,100,37066,0,partial,EVM-MAX modular arithmetic precompiles
luxcpp/xvm,lux_original,100,22307,0,partial,X-chain native VM (Lux DAG)
luxcpp/zap-cpp-core,lux_original,100,88589,0,no,C++ port of ZAP wire encoder
luxcpp/zapdb,lux_original,100,3877,0,no,C++ ZapDB wrapper
luxcpp/aivm,lux_original,100,17436,0,yes,AI Virtual Machine; model inference precompiles
luxcpp/bridgevm,lux_original,100,21455,0,no,Cross-chain bridge VM
luxcpp/mpcvm,lux_original,100,16540,0,no,MPC threshold VM
luxcpp/platformvm,fork_diverged,~70,19494,0,no,P-chain port to C++
luxcpp/session,lux_original,100,20214,0,no,QUIC-based session layer
luxcpp/accel,lux_original,100,2856,0,no,Backend selection / dispatch
luxcpp/dex,lux_original,100,33068,0,no,DEX matching engine
luxcpp/consensus,lux_original,100,5642,0,no,C++ consensus client bindings
