tier,stack,service,path,current_wire,target_wire,evidence,projected_bench,notes
1,lux,proto/p (P-Chain blocks+txs),~/work/lux/proto/p,linearcodec,zap-native,"63 files import luxfi/codec across proto/p; LP-023 zap_native subtree already exists; node FINAL_CODEC_RIP.md lists 16 prod imports blocked on utxo migration",7.50x parse geomean (LP-023 measured),Hot path: every block parse + tx verify
1,lux,proto/x (X-Chain UTXO),~/work/lux/proto/x,linearcodec,zap-native,"proto/x/txs/parser.go + initial_state.go + operation.go all import luxfi/codec; identical migration shape to p",7.50x parse geomean (LP-023 measured),Hot path: every UTXO consumed/produced
1,lux,utxo (cross-chain UTXO library),~/work/lux/utxo,zap-native,zap-native,"utxo/wire/*.go fully ZAP-native; FINAL_RIP.md closed (commit 559e482); CodecRegistry + codec.Manager removed from public API; luxfi/codec now indirect-only in go.mod; 11/11 packages green",7.50x parse geomean (LP-023 measured),Tier 5 — DONE
1,lux,node service-info,~/work/lux/node/service/info/service.go,jsonrpc.Uint32 via luxfi/p2p,zap-native,"FINAL_CODEC_RIP.md flags this as one of 16 prod blockers",not measured yet,Per-call; light load but in hot RPC surface
1,lux,evm wire results,~/work/lux/node/vms/evm/wire,linearcodec,zap-native,"results.go + results_builder.go already cite luxfi/zap; classification: partial ZAP",measured equal to ZAP baseline,Per-block receipt batch
1,lux,proposervm wire,~/work/lux/node/vms/proposervm/wire,linearcodec,zap-native,"5 files (block_wrapper, header, option, signed_block, state_summary) already cite luxfi/zap; classification: partial ZAP",measured equal to ZAP baseline,Per-block wrapper outer envelope
1,lux,warp wire (cross-chain msg),~/work/lux/node/vms/platformvm/warp/wire,mixed luxfi/zap+luxfi/codec,zap-native,"11 files cite luxfi/zap (msg_*+payload_*+sig_*); warp/codec.go still imports luxfi/codec for unsigned message",not separately measured,Hot path on cross-chain message verification
1,lux,relayvm / quantumvm / oraclevm / keyvm / identityvm / graphvm,~/work/lux/chains,partial zap-native,zap-native,"All 6 chain VMs have wire/ subdirs already citing luxfi/zap (kind.go, *_tx.go, block.go)",not measured but assumed equal to zap baseline,Hot path on each L1 chain
2,lux,kms ZAP envelope,~/work/lux/kms,zap-native,zap-native,"luxfi/kms cmd/kms/main.go imports luxfi/zap; envelope auth shipped per memory hanzo_kms_251_consensus_native",measured in handshake bench,Tier 5 — DONE
2,lux,dex,~/work/lux/dex,zap go.mod present,zap-native,"go.mod cites luxfi/zap; usage TBD by next agent",not measured,Per-order/per-fill wire
2,lux,zap-PQ handshake,~/work/lux/zap/conn_pq.go,zap-native,zap-native,"ZAP-PQ-v1 specced + implemented per docs/SPEC-ZAP-PQ-v1.md; X25519+ML-KEM-768+ML-DSA-65+AES-256-GCM",measured handshake bench,Tier 5 — DONE
1,hanzo,base p2p transport,~/work/hanzo/base/network/transport_zap.go,zap-native,zap-native,"6 hits in transport_zap.go + base/internal/zap/server.go + base/plugins/zap/*",measured in base bench,Tier 5 — DONE for base
1,hanzo,datastore zap-bridge,~/work/hanzo/datastore/cmd/zap-bridge,zap-native (MsgType 302),zap-native,"main.go cites luxfi/zap; HMAC-SHA256 framing; canonical hot path to ClickHouse",measured by datastore team,Tier 5 — DONE
1,hanzo,kms zapserver,~/work/hanzo/kms,zap-native,zap-native,"9 files cite luxfi/zap; pkg/kmsclient/zap_test.go + main_test.go + red_hardening_test.go; consensus-native shipping",measured in kms bench,Tier 5 — DONE
1,hanzo,gateway ZAP plugin,~/work/hanzo/gateway/zap_wire.go,zap-native,zap-native,"6 files cite luxfi/zap; gateway/zap_backend.go + gateway/zap_wire.go + build_app.go",not separately measured,Tier 5 — DONE
1,hanzo,iam-v2,~/work/hanzo/iam/cmd/iam-v2,zap-native (introduction),zap-native,"5 files cite luxfi/zap; iam/MIGRATION.md tracks migration",not yet measured,Tier 5 — DONE/in-flight
1,hanzo,agent control-plane,~/work/hanzo/agent,zap-native (opt-in HANZO_AGENT_WIRE=zap),zap-native,"src/agents/zap/{client,agent,consensus}.py shipped; src/agents/network/remote.py wires cross-process via ZapClient (commit ecf7ff6); default JSON path preserved for OpenAI compat",17x ser + 345x parse vs JSON-RPC (zap/README.md),Tier 5 — DONE (feature-flag intra-cluster path)
1,hanzo,mcp (Model Context Protocol),~/work/hanzo/mcp,mixed: JSON-RPC stdio (clients) + ZAP browser path,zap-native variant,"src/zap-server.ts wired into both index.ts + cli.ts entrypoints with full method-dispatch parity (MSG types 0x01/0x02/0x10/0x12/0xf0/0xf1); MCP<->browser ZAP path shipped; MCP<->MCP federation client-side not yet wired",17x ser + 345x parse vs JSON-RPC (zap/README.md),Tier 5 — PARTIAL (browser path done; server federation TODO)
